137-80,64693
182,64639
14-40-59,64358
5-97-9,64117
60-71-9,63975
64-45-46,63626
5-6-9,63565
74-66-40-59,63141
42-8-9,63021
57-113-46,62903
47-49-9,62562
42-19-20-13,62372
183,62007
23-119-102,61413
36-43-35-26,61290
86-5-12-13,61204
60-20-9,61118
36-6-13,61037
74-20-9,60596
14-35-9,60508
5-97-26,60555
42-7-13,60224
153-13,60181
36-40,60165
5-139-9,59910
5-19-9,59882
131-57,59806
14-70-9,59621
36-12-20-13,59473
14-69-9,59377
103-35-26,59114
74-26,58877
33-40-59,58585
17-98-99,57985
18-44-9,57908
14-40-149,57901
151,57572
33-20-13,57516
5-12-20-13,57424
42-35-20-26,57159
156-85,56849
90-49-9,56178
154-14-35-26,56016
33-19-9,55745
18-63-9,55751
33-43-35-26,55570
14-68,55593
36-43-35-20-26,55219
96-24-68,55077
5-19-128-13,54929
33-6-9,54634
42-6-13,54531
174,54418
161-61,54423
60-20-13,54191
74-66-9,53946
56-45-46,53386
74-66-40,52431
129-13,52357
14-66-13,52066
18-35-20-9,51939
33-44-9,51596
5-12-19-13,51552
14-9-59,51542
5-12-35-20-13,51425
18-122-9,51400
14-12-8-13,51349
14-24-9,51220
47-40,51348
137-195,50900
17-119-102,50612
33-44-26,50555
36-6-9,49957
90-12-40,49982
47-71-9,49735
42-66-40,49606
42-6-40,49539
75-98-99,49071
5-20-13,48902
14-66-9,48632
33-71-9,48162
74-35-20-13,48166
14-9-58,47911
5-20-40,47387
152,47227
42-72-9,47089
154-33-9,46710
18-66-35-9,46544
154-14-9,46544
137-170,46519
74-12-20-13,46424
75-119-102,46133
14-19-20-13,46036
5-7-9,46023
23-184-102,46034
126,45989
60-35-20-13,45345
33-12-20-13,45288
76-14-9,45189
23-178-46,44959
57-101-102,44934
90-35-26,44665
33-8-35-26,44508
33-8-20-9,44415
42-133-13,43910
14-12-13-59,43566
42-69-9,43396
5-66-9,43348
96-20-13,43303
60-49-9,43077
138,42858
137-106,42467
33-69-9,42499
47-12-35-20-13,42202
20-9,41999
14-44-9,41812
42-19-20-9,41776
212-69-26,41653
36-12-68,41299
103-43-35-26,41074
18-116-20-9,40907
74-84-9,40232
86-5-12-40,40199
36-6-72-66-13,40059
47-12-20-13,39879
96-24-26,39226
5-25-26,39187
42-9-59,39063
18-186-9,39121
14-12-19-20-13,37967
47-12-9,37954
8-26,37980
205-88-89,37687
52-35-26,37589
203,37423
42-9-58,37249
14-72-19-13,36995
42-12-84-9,36804
131-16,36712
14-13-58,36219
18-72-19-9,36125
18-48-19-9,36063
74-12-35-20-13,35829
14-43-35-20-26,35639
166,35548
14-66-133-13,35233
14-12-43-35-20-13,35209
220,34979
65-35-20-13,34968
96-49-9,34758
18-77-9,34726
103-35-20-13,34679
18-20-9-58,34579
33-12-19-13,34537
124-125-19-26,34311
65-40,34310
14-110-9,34320
14-12-24-13,33973
65-20-9,33742
65-35-26,33767
42-63-9,33748
14-72-35-20-13,33583
65-19-13,33477
123,33330
60-35-20-26,33327
194,33073
74-19-13,32928
115-222-142,32727
42-35-9,32622
65-26,32614
60-43-35-20-26,32194
103-20-9,32179
18-66-116-9,31566
42-48-13,31672
82-195,31538
42-43-35-20-26,31492
36-19-9,31315
33-12-48-13,31425
108,31154
33-40,31233
14-69-40,31056
74-49-9,30785
96-71-9,30684
124-36-12-13,30669
60-9-58,30653
90-19-13,30614
14-12-48-13,30676
57-98-99,30445
96-164-110-66-19-9,30445
35-9,30375
103-19-13,30281
14-63-9,30287
47-19-13,30124
33-116-20-9,30033
52-40,30148
103-84-9,29949
74-19-9,29894
169-216,29943
52-84-9,29825
14-25-9,29975
42-13-59,29661
14-72-19-9,29572
5-6-13,29530
33-8-13,29532
42-110-9,29605
179,29339
103-12-35-20-13,29367
42-66-20-9,29210
25-26,29346
14-19-20-9,29168
65-49-9,29027
60-26,29132
36-35-13,28839
90-12-68,28829
156-54-45-46,28708
51-101-102,27990
18-25-9,28060
42-6-7-9,27852
5-6-40,27814
65-84-9,27781
33-48-9,27580
52-12-40,27463
90-8-9,27429
18-173-9,27485
14-147-44-9,27299
36-6-35-26,27152
74-12-9,27059
14-66-19-13,27043
33-6-13,27014
14-40-58,27036
14-72-20-9,26968
33-63-9,26960
14-12-72-13,26865
240,26753
36-35-9,26670
44-9,26676
36-6-40,26602
54-98-99,26517
14-72-20-13,26508
96-215-69-26,26196
23-112-99,26171
42-24-9,26150
14-12-20-68,26136
96-24-20-13,25978
111-42-6-9,25979
52-35-20-13,25959
14-12-133-13,26002
67-95,25870
75-178-46,25800
33-19-20-13,25746
36-6-35-20-26,25729
60-12-13,25732
5-66-26,25722
16-119-102,25677
54-113-46,25613
169-75-45-46,25599
14-7-48-9,25612
33-62-13,25570
65-12-35-20-13,25492
60-35-26,25446
219-220,25366
42-43-13,25319
76-42-9,25286
103-49-9,25296
14-70-13,25308
33-72-9,25286
52-49-9,25020
36-72-9,24815
74-6-9,24688
33-12-72-13,24721
154-14-26,24606
33-25-9,24620
156-54,24477
18-110-9,24525
137-100,24346
42-66-19-13,24365
14-116-20-9,24251
47-35-9,24094
33-69-26,24107
60-13-58,24107
42-6-26,24064
103-20-13,24001
42-69-40,23931
14-43-13,23855
14-13-59,23811
74-12-68,23831
42-71-20-9,23619
125-19-26,23650
33-19-20-9,23582
60-43-35-20-13,23557
33-12-8-13,23526
36-7-13,23511
153-35-9,23486
124-47-12-13,23447
14-6-7-9,23417
14-12-25-13,23528
14-8-35-26,23358
90-15-9,23272
96-84-9,23314
52-19-13,23223
42-8-13,23221
